物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
銘傳稀有4房低樓層 市中心 明星學區 生活機能佳,基隆市仁愛區劉銘傳路,公寓,54.5年,38.99,4房(室)2廳2衛,2/4樓,938 萬
安樂路機能美3房,基隆市安樂區安樂路二段,公寓,43.3年,37.06,3房(室)1廳2衛,5/5樓,618 萬
新豐街早安國揚山景收租明亮大三房,基隆市中正區新豐街,華廈,4.0年,44.21,3房(室)2廳2衛,4/9樓,"1,398 萬"
星河繪全新未住景觀三房車近62快速道路,基隆市中正區調和街,電梯大樓,6.7年,46.82,3房(室)2廳2衛,14/14樓,"1,120 萬"
大華一路低總價低公設寧靜景觀美宅,基隆市七堵區大華一路,公寓,44.0年,32.3,1房(室)2廳1衛,5/5樓,499 萬
基隆市信義區東光國小三樓旁,基隆市信義區東信路,公寓,43.5年,27.69,4房(室)2廳1衛,3/5樓,480 萬
※505基隆廟口置產透天稀有黃金店面,基隆市仁愛區仁三路,透天厝,24.8年,97.99,3房(室)2廳6衛(另加蓋1房(室)1廳1衛),1~5/5樓,"7,300 萬"
基隆市信義區信二路市場旁溫馨大套房,基隆市信義區信二路,公寓,34.4年,15.58,1房(室)1廳1衛,3/5樓,450 萬
基隆市安樂區涵悅明亮景觀三房平面車位,基隆市安樂區安和二街,電梯大樓,16.6年,47.94,3房(室)2廳2衛,11/12樓,"1,698 萬"
基隆市仁愛區延平街全新裝潢精美五樓,基隆市仁愛區延平街,公寓,42.7年,25.15,3房(室)2廳1衛,5/5樓,560 萬
基隆市安樂區武隆街水天漾三代同堂,基隆市安樂區武隆街,透天厝,17.5年,56.14,7房(室)2廳4衛,1~3/3樓,"1,658 萬"
基隆市安樂區武嶺街精美裝潢明亮二樓,基隆市安樂區武嶺街,公寓,49.8年,23.65,3房(室)2廳1衛,2/4樓,666 萬
法院商圈東信路典雅全新裝潢3房美屋,基隆市信義區東信路,公寓,43.4年,26.4,3房(室)2廳1衛,5/5樓,498 萬
美麗上城旁精裝2樓,基隆市暖暖區國安路,公寓,43.1年,22.42,#NAME?,2/4樓,298 萬
基金一路楓林小橋漂亮4房+大車位,基隆市安樂區基金一路,華廈,30.4年,53.16,4房(室)2廳2衛,5/7樓,"1,288 萬"
國揚大地乾淨明亮福氣三房-年輕家庭首選,基隆市安樂區基金一路,公寓,29.5年,30.46,3房(室)2廳2衛,4/5樓,528 萬
臻璽2房/新橫濱夢悅城 城上城微笑台北買方可參考,基隆市安樂區中和路,華廈,1.7年,26.05,2房(室)2廳1衛,4/9樓,980 萬
復興商圈一樓+車庫,基隆市中山區復興路,公寓,43.8年,34.37,3房(室)3廳3衛,1~2/5樓,"1,088 萬"
中正路低總鈔值金店面,基隆市中正區中正路,公寓,40.2年,14.04,--房(室)1廳1衛,1/5樓,658 萬
信義區田園調布一期電梯7樓+平面車位,基隆市信義區福民街,華廈,5.9年,68.24,5房(室)2廳3衛,7~9/9樓,"1,670 萬"
夢悅城典雅三房車,基隆市中山區復興路,電梯大樓,1.7年,46.38,3房(室)2廳2衛,6/13樓,"1,598 萬"
台北香港四房,基隆市仁愛區南榮路,電梯大樓,31.2年,51.73,4房(室)2廳2.5衛,4/15樓,"1,500 萬"
百福市中心稀有三樓近市場0公設3房,基隆市七堵區百五街,公寓,45.2年,29.06,3房(室)2廳1.5衛,3/5樓,758 萬
樹學院二房+車位大露台(劍橋區),基隆市安樂區武崙街,華廈,3.8年,37.53,2房(室)2廳1衛,1/4樓,"1,380 萬"
樹學院二房+車位大露台(劍橋區),基隆市安樂區武崙街,華廈,3.8年,37.53,2房(室)2廳1衛,1/4樓,"1,380 萬"
西定市場旁透店,基隆市中山區西定路,透天厝,53.3年,15.86,3房(室)3廳3衛,1~2/2樓,920 萬
東明路法院旁平地發財電梯美屋,基隆市信義區東明路,華廈,30.7年,44.78,2房(室)2廳2衛,6/7樓,"1,468 萬"
(424)樹學院牛津區山景武崙學區電梯三房平面車,基隆市安樂區武崙街,華廈,3.0年,47.08,3房(室)2廳2衛,5/5樓,"1,628 萬"
基隆仁二路商四・整棟出售・地段制霸,基隆市仁愛區仁二路,透天厝,N/A,71.55,#NAME?,1~4/4樓,"7,200 萬"
義一路超低公設電梯三改二稀有釋出鬧中取靜市區首選,基隆市中正區義一路,華廈,30.8年,34.64,2房(室)2廳1.5衛,4/5樓,"1,288 萬"
統一新城溫馨美宅,基隆市中山區復興路,公寓,43.8年,32.34,3房(室)2廳2衛,4/5樓,498 萬
東方帝景景觀大戶 璽悅柏悅府君悅世紀首席可參考,基隆市仁愛區仁一路,電梯大樓,17.7年,64.59,3房(室)2廳2衛,24/31樓,"2,880 萬"
大慶精美大戶二樓,基隆市安樂區中和路,公寓,30.8年,41.49,4房(室)2廳2衛,2/5樓,658 萬
海景第一排樓中樓(豐澤 御景硯 星海灣 可參考),基隆市中正區中正路,電梯大樓,18.2年,86.06,3房(室)3廳3衛,6/14樓,"2,980 萬"
東明路絕美靜謐奢華精緻美四房文教區精選物件,基隆市信義區東明路,公寓,35.4年,36.77,4房(室)2廳2衛,1/5樓,998 萬
東信路稀有歐風精緻宅典雅大氣絕佳採光帶車位,基隆市信義區東信路,公寓,34.6年,65.71,5房(室)2廳3衛,1/5樓,"1,980 萬"
陽光清境低樓層樓中樓4房+平面車位,基隆市安樂區樂利三街,公寓,33.4年,53.86,4房(室)2廳2衛,3/5樓,850 萬
信五路精緻三房美宅,基隆市中正區信五路,公寓,49.3年,20.34,3房(室)2廳1.5衛,4/4樓,688 萬
信義之心電梯平車/法院旁,基隆市信義區崇法街,華廈,5.4年,38.41,2房(室)2廳1衛,3/9樓,"1,288 萬"
柏悅府露台大戶+3車位,基隆市信義區義六路,電梯大樓,11.6年,124.6,4房(室)2廳4衛,2/24樓,"6,000 萬"
安樂區建德山莊稀有1樓釋出溫馨三房,基隆市安樂區安和一街,電梯大樓,29.3年,37.3,3房(室)2廳2衛,1/16樓,980 萬
