物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
杜蘭朵邊間大空間,台北市中山區林森北路 杜蘭朵公主,辦公商業大樓,9.3年,建坪14.16,3房(室)1廳1衛(含加蓋2房(室)--廳1衛),4/7樓,"1,570 萬"
靜心電梯貳房型,台北市文山區仙岩路 王者鄉,住宅大樓,30.5年,建坪23.59,1房(室)2廳1衛,7/11樓,"1,880 萬"
敦北南京景觀美宅,台北市松山區南京東路四段 敦北南京,住宅大樓,0.8年,建坪18.90,1房(室)--廳1衛,9/15樓,"2,850 萬"
中正邊間方正四房,台北市大安區和平東路一段,公寓,47.2年,建坪45.05,4房(室)2廳2衛,3/5樓,"4,288 萬"
民生建成管理小築,台北市松山區民生東路五段 建成花園廣場,辦公商業大樓,36.3年,建坪11.41,1房(室)1廳1衛,10/20樓,"1,088 萬"
北車商三角間公寓,台北市大同區長安西路,公寓,57.6年,建坪14.25,2房(室)1廳1衛,4/4樓,"1,680 萬"
未來雙子星景觀戶,台北市大同區華陰街 站前君品,辦公商業大樓,13.9年,建坪31.69,2房(室)2廳1衛(含加蓋1房(室)--廳--衛),14/15樓,"4,168 萬"
力麒三房幽靜美居,台北市南港區南港路二段 力麒村上搖滾區,住宅大樓,16.9年,建坪50.72,3房(室)2廳2衛,11/12樓,"4,650 萬"
大安裝潢捷運兩房,台北市大安區樂利路,公寓,41.7年,建坪26.28,2房(室)1廳1衛,5/5樓,"2,288 萬"
雙星美妝電梯兩室,台北市大同區天水路 天水富貴,辦公商業大樓,46.9年,建坪18.80,2房(室)1廳1衛,11/11樓,"1,388 萬"
公園首排闊境名邸,台北市南港區舊莊街一段 綠洲大廈,華廈,35.0年,建坪88.61,5房(室)2廳3衛(含加蓋1房(室)--廳--衛),7~8/8樓,"4,238 萬"
國泰名人公園一樓,台北市大安區忠孝東路三段,華廈,52.2年,建坪34.82,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),1/7樓,"5,200 萬"
尊爵珍稀美景四房,台北市大安區復興南路一段 和風尊爵,住宅大樓,29.3年,建坪55.27,4房(室)2廳2衛,6/16樓,"5,888 萬"
