物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
輕軌捷運雅致三房,新北市新店區安忠路 台北寧境二期,住宅大樓,21.9年,建坪29.78,3房(室)2廳2衛,5/11樓,"1,550 萬"
陽光樹海景觀美廈,新北市新店區安興路 陽光PARK,辦公商業大樓,9.5年,建坪36.04,2房(室)2廳1衛,14/14樓,"1,638 萬"
敦南雙拼戶大平車,新北市新店區安興路 敦南花園,華廈,11.8年,建坪61.75,3房(室)2廳2衛,2/6樓,"2,888 萬"
海山站電梯大四房,新北市土城區明德路二段 蟠龍大地,華廈,34.6年,建坪51.41,4房(室)2廳2衛,4/7樓,"2,550 萬"
中正首購黃金三樓,新北市新店區中正路,公寓,51.5年,建坪29.49,3房(室)2廳1.5衛(含加蓋--房(室)--廳0.5衛),3/4樓,"1,628 萬"
重劃晴境邊間大樓,新北市土城區中央路二段 光明華廈,廠辦,3.9年,建坪98.50,4房(室)2廳2衛,7/9樓,"4,180 萬"
僑中庭園電梯三房,新北市板橋區僑中二街 新大觀,華廈,14.6年,建坪48.88,3房(室)2廳2衛,1/7樓,"2,688 萬"
水岸妍植邊間毛胚,新北市板橋區板城路 高妍植,住宅大樓,1.2年,建坪40.66,--房(室)2廳1衛,6/24樓,"2,020 萬"
京美中庭三房車,新北市土城區中州路 京美,住宅大樓,12.5年,建坪53.22,3房(室)2廳2衛,5/19樓,"2,015 萬"
月灣旁美妝國泰居,新北市板橋區中正路,公寓,38.5年,建坪33.58,3房(室)2廳2衛,5/5樓,"1,480 萬"
歐風文藝三房車位,新北市板橋區藝文街 大悅,住宅大樓,4.7年,建坪43.49,3房(室)2廳1衛,17/19樓,"2,450 萬"
歐風文藝三房車位,新北市板橋區藝文街 大悅,住宅大樓,4.7年,建坪43.49,3房(室)2廳1衛,17/19樓,"2,450 萬"
SRC鋼骨四房車,新北市板橋區光環路二段 湛然新天地,住宅大樓,11.6年,建坪72.54,4房(室)2廳2衛,5/17樓,"4,680 萬"
南方之星質感臻品,新北市中和區捷運路 南方之星,辦公商業大樓,14.5年,建坪22.20,--房(室)2廳1衛,5/19樓,"1,836 萬"
